file,tags
"Replacing 12K LoC with a 200 LoC Skill — David Gomes, Cursor",alt-agents agent-skills code-quality
Rethinking AI Agents The Rise of Harness Engineering,harness-engineering
Rethinking Domain Layer Folder Structure for Clean Architecture,clean-architecture ddd
Run AI with an API.,alt-agents
"Running AI Coding Agents From My Phone (it's getting out of hand)",alt-agents claude-code-ops observability
SEMAG Self-Evolutionary Multi-Agent Code Generation,multi-agent cost-optimization code-quality
Scalp Psoriasis Treatment Breakthroughs New Options for 2026–2027,non-content
Scientists Test New Ways To Regrow Joints Damaged by Arthritis,health
Scrapling The Web Scraper That Repairs Itself,browser-automation
Semantic vs Heuristic Code Graphs for AI Agents,code-intelligence context-engineering
Shared Goals for Event Sourcing and Change Data Capture,data-engineering
Shortcut for toggling between different windows of same app,non-content
Should we use custom exceptions in Python,code-quality software-patterns
Sign in to your account-2,non-content
Sign in to your account,non-content
Slack Reminders for Assigned Reviewers with Pending Questionnaire Work,non-content
"So I stumbled across this prompt hack a couple weeks back and honestly I wish I could unlearn it.",code-review code-quality
Spec-driven development,spec-driven-dev
"Stacked PRs, Worktrees, and Git Exercises for Agentic Development",agent-git
Startup Playbook,startup
State of Play AI Coding Assistants,alt-agents context-engineering code-quality
Stop Bloating Your CLAUDE.md Progressive Disclosure for AI Coding Tools,claude-md token-efficiency context-engineering
Stop Building Subagents. Start Writing Skills.,agent-skills token-efficiency
"Stop Fighting Claude Code's Permission Prompts — Here's How the System Actually Works",claude-code-ops web-security
Stop Wasting Tokens A Smarter Alternative to JSON for LLM Pipelines,token-efficiency
Stop Writing Rules in AGENTS.md Use Agent Hooks and Nano-Staged Instead,claude-md code-quality harness-engineering
"Stop babysitting your agents... — Brandon Walsenuk, Unblocked",context-engineering harness-engineering
Strategies to Manage the Context Bloat,context-engineering token-efficiency
Strengthening the Inner Developer Loop Turn AI Into a Reliable Engineering Partner,code-quality observability
Sunny mornings,non-content
Sälja Utan Mäklare,real-estate
Tactical Agentic Coding Course,harness-engineering alt-agents
Taking Frontend Architecture Serious with dependency-cruiser,code-quality frontend-webapp
Testing Agent Skills Systematically with Evals OpenAI Developers,evals agent-skills
"The 7 Most Powerful Moats For AI Startup YC Startup Library Y Combinator",startup ai-industry
The AI Strategy Playbook For Senior Executives,ai-industry
The AI Vampire,productivity
The AI code review checklist that prevents the next $1M production incident,code-review code-quality
The Constraints of Traditional Test Impact Analysis,agent-testing dora-metrics
The Final Bottleneck,comprehension-debt code-review
The Flat Curve Society,ai-industry llm-fundamentals
"The Future of AI 60+ Agents Collaborating in Real Time.",multi-agent cost-optimization
The Future of MCP — David Soria Parra, Anthropic,mcp
The RACI Matrix Your Blueprint for Project Success,product-management
The Rise of Obsidian as a Second Brain,pkm-obsidian
The Weekly,non-content
The backend building blocks for your agents,harness-engineering code-quality
The basics of software coupling metrics and concepts,clean-architecture software-patterns
The comprehensive guide to making your web app feel native,frontend-webapp ux-ui-design
The hidden technical debt of agentic engineering,comprehension-debt observability harness-engineering
