file,tags
Falling Into The Pit of Success,software-patterns
Fallow The Code Intelligence Tool Every Claude User Needs,alt-agents code-intelligence code-quality
Fastlagsvägen 61,non-content
Flux A Kanban Board That Speaks MCP,harness-engineering mcp
"For Those Who Left Six-Figure Jobs to Become Real Estate Agents, Was It Worth It or Do You Regret It",real-estate
From RPI to QRSPI Rebuilding the First Structured Workflow for Coding Agents,harness-engineering spec-driven-dev
Getting Started With Ddd When Surrounded By Legacy Systems,clean-architecture ddd
Getting Started with Reader,pkm-obsidian
Git for agents (and humans).,agent-git cost-optimization observability
"GitHub - AgriciDanielclaude-seo Universal SEO skill for Claude Code. 25 sub-skills + 18 sub-agents covering technical SEO, E-E-A-T, schema, GEOAEO, backlinks, local SEO, maps intelligence, semantic clustering, e-commerce SEO, international SEO, Googl",agent-skills alt-agents
GitHub - AlexsJonesllmfit A way to justify buying a more powerful laptop (and see what LLM's will run),local-llm
"GitHub - EvolvingSoftwarescreen-pipe Record your screen & mic 247 and connect it to LLMs. Inspired by adept.ai, rewind.ai, Apple Shortcut. Written in Rust. Free. You own your data.",browser-automation
GitHub - HKUDSOpenHarness OpenHarness Open Agent Harness -- Ultra-Lightweight Claude Code · GitHub,alt-agents harness-engineering
GitHub - aiming-labAutoHarness AutoHarness Automated Harness Engineering for AI Agents · GitHub,cost-optimization harness-engineering
GitHub - arielb135claude-code-e2e-demo E2E testing demo using Claude Code as an autonomous test agent with Playwright · GitHub,agent-testing alt-agents
GitHub - bmad-code-orgBMAD-METHOD Breakthrough Method for Agile Ai Driven Development,multi-agent spec-driven-dev
"GitHub - dirac-rundirac Open Source Coding Agent singularly focused efficiency. Reduces API costs by 50-80% vs other agent AND improves the code quality at the same time. Uses Hash Anchored edits, massively parallel operations, AST manipulation and m",alt-agents code-quality cost-optimization
GitHub - emilybacheRacing-Car-Katas Several code katas on a racing car theme,software-patterns
GitHub - gitpod-iogitpod The developer platform for on-demand cloud development environments to create software faster and more securely.,claude-code-ops
GitHub - gsemetCraftsman Craftsman is an powerful generic coding Agent for GitHub Copilot. It provides a Plan agent that does extensive interview to understand the need and a Ralph implementation loop to implement most plan in a single premium reques,alt-agents spec-driven-dev
GitHub - hamelsmuevals-skills Skills for AI Evals to compliment the course AI Evals For Engineers & PMs · GitHub,agent-skills evals
"GitHub - jordan-gibbshyperresearch Agent-driven research knowledge base. Agents collect, search, and synthesize web research into a persistent, searchable wiki. · GitHub",agent-memory multi-agent
GitHub - keploykeploy Shadow Test generation for Developers. Generate tests and stubs for your application that actually work!,agent-testing
GitHub - middlewarehqmiddleware ✨ Open-source DORA metrics platform for engineering teams ✨,dora-metrics observability
"GitHub - mikaelvesavuorigithub-dora-metrics Instant, badge-ready DORA metrics for your GitHub repository. · GitHub",dora-metrics observability
GitHub - millioncoreact-doctor Let coding agents diagnose and fix your React code,alt-agents code-quality web-security
"GitHub - openaievals Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",evals
GitHub - sandromancusotrip-service-kata Kata for a legacy code hands-on session. The objective is to write tests and refactor the given legacy code.,software-patterns
GitHub - shep-aicli Multi-Session SDLC Control Center for AI Coding Agents · GitHub,alt-agents multi-agent
"Goodbye, VRAM Limits How to Run Massive LLMs Across Your GPUs 🚀",local-llm
Graphify + code-review-graph Build a Self-Updating Knowledge Graph for Claude Code and other AI Coding Agent,code-intelligence context-engineering
Graphify vs. code-review-graph Which is better for context-mapping across two very different large codebases,code-intelligence context-engineering
Hacker News,alt-agents code-quality
Harness engineering for coding agent users,harness-engineering
Harness engineering leveraging Codex in an agent-first world OpenAI,alt-agents harness-engineering
"Harnesses in AI A Deep Dive — Tejas Kumar, IBM",harness-engineering
Hexagonal Architecture A Complete Guide for Modern Software Design,clean-architecture software-patterns
Hexagonal Architecture The Secret to Scalable and Maintainable Code for Modern Software,clean-architecture software-patterns
Hip Pain while Approaching Climbs or Landing From Boulders,health
How Duolingo reignited user growth - by Jorge Mazal — How Duolingo reignited user growth,product-management
How I Built an AI Agent That Actually Gets Work Done,alt-agents harness-engineering
"How I Built an AI Documentation Engine with Tree-sitter, Claude AI, and RAG",agent-skills code-intelligence
How I Finally Sorted My Claude Code Memory #98,agent-memory claude-code-ops
How I Vibe Code Technical Videos With Claude Code and Remotion,alt-agents media-generation
How I plan my day with Obsidian Daily Notes,pkm-obsidian productivity
How I run customer interviews (and why they're better than analytics for 0-1),product-management
How We Organize Our Life in Notion Second Brain,pkm-obsidian productivity
How are push notifications created and handled in PWAs,frontend-webapp
How can you make website feel like a native app,frontend-webapp ux-ui-design
How long before we stop reading the code,code-review comprehension-debt
