file,tags
How to Build a Pseudocode Runner with AI,agent-testing code-quality
"How to Build an E2E Web Testing Agent with Claude - No Selectors, No Scripts, No Frameworks",agent-testing browser-automation
How to Get Clawdbot Set Up in an Afternoon,voice-ai
How to Harness Coding Agents With the Right Infrastructure,context-engineering harness-engineering
How to Implement a Successful Master Data Management Strategy,mdm-governance
How to Make Your OpenClaw Agent Useful and Secure,agent-memory alt-agents claude-md
How to Run Local LLMs with Claude Code,alt-agents local-llm
How to Sanitize User Input in React to Prevent Injection Attacks,frontend-webapp web-security
How to Sync Your Obsidian Vault Across Multiple Devices for Free,pkm-obsidian
How to build a skills library for your engineering team,agent-skills
How to build your seed round pitch deck YC Startup Library Y Combinator,product-management startup
How to measure Claude Code ROI Developer productivity insights with Faros,claude-code-ops dora-metrics observability
How we use Claude Agents to automate test coverage,agent-testing code-quality
Hugo Pod,non-content
HugoRoberto 2.0,non-content
I Built 63 Design Skills For Claude - and They're Free,agent-skills ux-ui-design
I Improved 15 LLMs at Coding in One Afternoon. Only the Harness Changed.,code-quality harness-engineering
I Replaced $90Month in AI Coding Tools With 3 Free GitHub Repos. Here's the Exact Setup.,agent-memory agent-skills cost-optimization
I Thought DGX Spark Was Slower… Until I Changed ONE Thing,local-llm
"I built Claude's Dreams feature myself using Mem0 and Codex, and it changed how I code",agent-memory
"I built a coding agent that gets 87% on benchmarks with a 4B parameter model, here's how",alt-agents cost-optimization
"I ditched Claude Code and OpenCode for Pi, and my coding workflow became predictable again",alt-agents token-efficiency
I learned a productivity system for organizing life,productivity
"I tested 3 tiny local LLMs for everyday work, and only one of them impressed me",evals local-llm
I was tired of AI coding agents breaking my projects. Here is the Harness framework that fixed it.,context-engineering harness-engineering
Improving Performance with HTTP Streaming,frontend-webapp
Instant Startup Valuations Based on Live Market Data,startup
Introducing Beads A coding agent memory system,agent-memory
Introducing visual-plan - rich plans for Claude Code + Codex,agent-skills
Introduction to Domain-Driven Design (DDD) in Insurance,ddd
Is There A Right Way To Write User Stories,product-management
Is There a Cure for Arthritis,health
JavaScript,frontend-webapp
Jira and Linear are legacy software,ai-industry
Joel Spolsky on Equity for Startups · GitHub,startup
Karpathy Just Told Us What Startups To Build For 2026,ai-industry
Karpathy's Skill Just Fixed Claude Code's Biggest Problem,agent-skills claude-md
Keep your coding agent on task with mutation testing,agent-testing code-quality
Kobo 2.0 Sync is Here 📕 🔁,pkm-obsidian
Komplett Guide Till Att Sälja Bostad Utan Mäklare,real-estate
"Legit-Controlmonorepo A Git based Version control system for AI agents to make them safe, reliable collaborators.",agent-git
Let Claude use your computer from the CLI,browser-automation claude-code-ops
Linas Beliūnas' Post,ai-industry startup
Loading skill…,agent-memory context-engineering
Luke Alvoeiro The Bottleneck in Coding Is No Longer AI — It's Human Attention,comprehension-debt harness-engineering
MCP Security Is a Mess 5 Ways I Broke My Own AI Agent,mcp web-security
MCP vs CLI Two Ways to Let AI Take Action (and Why It Matters),mcp
MDM Survivorship How to Choose the Right Record,mdm-governance
MIT Explains the 12 Possible Endings for AI,ai-industry
Make videos programmatically.,non-content
